Date,Close,LNReg,NLNReg,LSTM,Arima,Prophet
12/22/2021,513,433.738728,464.157573,513.27124,517,522.4663221
12/23/2021,510,433.876952,464.091742,513.24646,517,523.7572131
12/24/2021,522,434.015177,464.02313,510.34833,517,524.8231581
12/29/2021,512,434.153402,463.951754,515.72205,517,525.9986485
12/30/2021,516,434.291626,463.877631,514.1632,517,527.1244852
12/31/2021,516,434.429851,463.800776,513.97534,517,528.2868996
1/4/2022,545,434.568075,463.721206,514.38275,517,529.7099034
1/5/2022,536,434.7063,463.638938,532.2508,517,530.5918237
1/6/2022,532,434.844524,463.55399,537.96,517,531.8594414
1/7/2022,532,434.982749,463.466377,534.0234,517,532.8138399
1/10/2022,520,435.120973,463.376118,530.2055,517,533.7905538
1/11/2022,508,435.259198,463.283229,522.0848,517,534.6329701
1/12/2022,513,435.397422,463.187728,511.07278,517,535.4313772
1/13/2022,513,435.535647,463.089632,509.29596,517,536.4152142
1/14/2022,512,435.673872,462.988959,511.28897,517,536.7894767
1/17/2022,505,435.812096,462.885727,512.2776,517,537.488706
1/18/2022,498.5,435.950321,462.779953,508.0119,517,537.8226677
1/19/2022,493,436.088545,462.671656,501.078,517,538.1363164
1/20/2022,499,436.22677,462.560854,494.56638,517,538.2830041
1/21/2022,501,436.364994,462.447564,495.75586,517,538.3633301
1/24/2022,489.5,436.503219,462.331806,499.4927,517,538.6171908
1/25/2022,495.5,436.641443,462.213597,494.63138,517,538.2599908
1/26/2022,509,436.779668,462.092955,493.65564,517,538.2364442
1/27/2022,515,436.917893,461.969901,502.38257,517,537.8660785
1/28/2022,515,437.056117,461.844451,511.87875,517,537.5030387
1/31/2022,513,437.194342,461.716625,515.32544,517,537.0091541
2/1/2022,517,437.332566,461.586443,513.62274,517,536.4926661
2/2/2022,520,437.470791,461.453921,514.078,517,536.2001785
2/3/2022,508,437.609015,461.319081,516.8329,517,535.3527914
2/4/2022,510,437.74724,461.18194,511.4292,517,534.8998486
2/7/2022,516,437.885464,461.042518,508.35962,517,534.1644112
2/8/2022,519,438.023689,460.900834,511.58585,517,533.5030528
2/9/2022,514,438.161913,460.756908,516.3627,517,532.7789384
2/10/2022,520,438.300138,460.610758,515.4496,517,532.1005838
2/11/2022,515,438.438363,460.462406,517.0544,517,531.7138541
2/14/2022,509,438.576587,460.311868,515.4795,517,530.8381603
2/15/2022,524,438.714812,460.159167,510.5224,517,530.4202819
2/16/2022,516,438.853036,460.00432,516.75793,517,529.7799245
2/17/2022,520,438.991261,459.847349,517.4704,517,529.2696058
2/18/2022,511,439.129485,459.688272,518.4249,517,528.7478297
2/21/2022,504,439.26771,459.527109,513.517,517,528.3179424
2/22/2022,502,439.405934,459.363881,506.02463,517,528.2202267
2/23/2022,498,439.544159,459.198607,501.46176,517,527.6681928
2/24/2022,489,439.682383,459.031307,498.30298,517,527.6024906
2/25/2022,494,439.820608,458.862002,492.1788,517,527.3365517
2/28/2022,493.5,439.958833,458.690711,491.79617,517,527.2165548
3/1/2022,495,440.097057,458.517454,492.9329,517,527.0946708
3/2/2022,500,440.235282,458.342253,494.489,517,527.0679856
3/3/2022,497,440.373506,458.165126,497.96628,517,527.370653
3/4/2022,502,440.511731,457.986094,497.9596,517,527.2102393
3/7/2022,490,440.649955,457.805177,499.82333,517,527.5216833
3/8/2022,481.5,440.78818,457.622396,494.0536,517,527.612982
3/9/2022,485,440.926404,457.437771,484.7736,517,527.8251972
3/10/2022,484.5,441.064629,457.251323,482.31345,517,528.005738
3/11/2022,483,441.202853,457.063071,483.09894,517,528.2473205
3/14/2022,485,441.341078,456.873036,483.295,517,528.7801569
3/15/2022,485,441.479303,456.681239,484.1623,517,528.8083361
3/16/2022,496,441.617527,456.4877,484.5923,517,529.2638206
3/17/2022,491,441.755752,456.292439,490.98645,517,529.4521696
3/18/2022,488.5,441.893976,456.095477,492.17084,517,529.7125833
3/21/2022,504,442.032201,455.896835,489.5729,517,529.8912244
3/22/2022,508,442.170425,455.696532,496.6331,517,530.0802147
3/23/2022,503,442.30865,455.49459,504.52325,517,530.5098606
3/24/2022,502,442.446874,455.291029,504.62418,517,530.3850669
3/25/2022,507,442.585099,455.085869,501.8607,517,530.639362
3/28/2022,506,442.723323,454.879131,503.15317,517,530.5806443
3/29/2022,518,442.861548,454.670836,504.37094,517,530.5512397
3/30/2022,513,442.999773,454.461004,511.9453,517,530.4012288
3/31/2022,506,443.137997,454.249655,513.55115,517,530.2274353
4/1/2022,520,443.276222,454.03681,508.30112,517,530.2656316
4/4/2022,518,443.414446,453.82249,512.88696,517,529.726916
4/5/2022,522,443.552671,453.606715,516.36426,517,529.5516866
4/6/2022,525,443.690895,453.389505,519.66846,517,529.0553181
4/7/2022,519,443.82912,453.170881,522.62317,517,528.5881337
4/8/2022,519,443.967344,452.950864,520.08813,517,528.0086272
4/11/2022,522,444.105569,452.729474,517.75775,517,527.4223319
4/12/2022,517,444.243793,452.506731,518.933,517,527.073889
4/13/2022,515,444.382018,452.282655,517.45166,517,526.183275
4/14/2022,518,444.520243,452.057268,514.97363,517,525.6996143
4/19/2022,510,444.658467,451.830589,515.61584,517,524.9466848
4/20/2022,510,444.796692,451.602638,512.0178,517,524.2827145
4/21/2022,505,444.934916,451.373437,509.48102,517,523.5734259
4/22/2022,502,445.073141,451.143005,505.92844,517,522.9307298
4/25/2022,488,445.211365,450.911362,502.54797,517,522.6046256
4/26/2022,499,445.34959,450.67853,493.13278,517,521.8192712
4/27/2022,497,445.487814,450.444527,494.21667,517,521.5266541
4/28/2022,504,445.626039,450.209374,496.46387,517,521.0519752
4/29/2022,512,445.764263,449.973091,501.51135,517,520.7533478
5/3/2022,511,445.902488,449.735698,508.72903,517,520.4947719
5/4/2022,500,446.040713,449.497216,511.27472,517,520.3847887
5/5/2022,506,446.178937,449.257664,504.36407,517,520.6683746
5/6/2022,502,446.317162,449.017061,502.75934,517,520.5630414
5/9/2022,485,446.455386,448.775429,501.5097,517,521.0125721
5/10/2022,489.5,446.593611,448.532787,491.21982,517,521.3325076
5/11/2022,490,446.731835,448.289154,487.29245,517,521.8699828
5/12/2022,483,446.87006,448.04455,487.98782,517,522.4768736
5/13/2022,475,447.008284,447.798995,485.39163,517,523.2486544
5/16/2022,470,447.146509,447.552509,478.63782,517,524.4165236
5/17/2022,472.5,447.284733,447.305111,471.88864,517,525.1837591
5/18/2022,476.5,447.422958,447.056821,470.67798,517,526.4797279
5/19/2022,468,447.561183,446.807658,474.05167,517,527.6056596
5/20/2022,472,447.699407,446.557641,471.60605,517,528.8947764
5/23/2022,473,447.837632,446.30679,471.01413,517,530.1857329
5/24/2022,467,447.975856,446.055124,471.86682,517,531.5617617
5/25/2022,474,448.114081,445.802663,469.11826,517,533.2430719
5/26/2022,476.5,448.252305,445.549425,470.8996,517,534.4234578
5/27/2022,484,448.39053,445.295429,474.34872,517,536.0245355
5/30/2022,483,448.528754,445.040695,480.4062,517,537.3417103
5/31/2022,487.5,448.666979,444.785241,482.82352,517,538.7044626
6/1/2022,483.5,448.805203,444.529087,485.25113,517,539.9499024
6/6/2022,481.5,448.943428,444.27225,483.93475,517,541.1619816
6/7/2022,482,449.081653,444.014751,481.2717,517,542.5639129
6/8/2022,487,449.219877,443.756606,480.2569,517,543.3547478
6/9/2022,490,449.358102,443.497836,483.32062,517,544.4635324
6/10/2022,489,449.496326,443.238458,487.4211,517,545.1951458
6/13/2022,480,449.634551,442.978492,488.63266,517,545.8904094
6/14/2022,490.5,449.772775,442.717954,483.0425,517,546.399421
6/15/2022,480,449.911,442.456864,485.11447,517,546.8205096
6/16/2022,479,450.049224,442.195239,482.20148,517,547.3923611
6/17/2022,470.5,450.187449,441.933098,479.0199,517,547.3302773
6/20/2022,473,450.325674,441.670458,472.8684,517,547.5799931
6/21/2022,469,450.463898,441.407339,471.05478,517,547.463163
6/22/2022,467.5,450.602123,441.143756,469.3397,517,547.3371159
6/23/2022,467,450.740347,440.879729,467.72906,517,547.0678384
6/24/2022,469.5,450.878572,440.615275,466.74478,517,546.7685901
6/27/2022,479,451.016796,440.35041,467.89886,517,546.6917127
6/28/2022,480,451.155021,440.085154,474.37595,517,546.0645984
6/29/2022,481.5,451.293245,439.819523,478.9358,517,545.843253
6/30/2022,475.5,451.43147,439.553534,480.87216,517,545.3575685
7/1/2022,480,451.569694,439.287205,477.40445,517,544.970911
7/4/2022,480,451.707919,439.020553,477.17346,517,544.5529867
7/5/2022,480,451.846144,438.753594,478.16113,517,544.2183944
7/6/2022,477.5,451.984368,438.486346,478.89682,517,544.2184248
7/7/2022,481,452.122593,438.218825,477.63205,517,543.7770753
7/8/2022,477,452.260817,437.951049,478.58218,517,543.844712
7/11/2022,470,452.399042,437.683033,477.33047,517,543.7434931
7/12/2022,481,452.537266,437.414795,472.18558,517,543.8271544
7/13/2022,478,452.675491,437.14635,475.40195,517,543.9541153
7/14/2022,480.5,452.813715,436.877715,477.4337,517,544.2263075
7/15/2022,491,452.95194,436.608906,479.1939,517,544.8812798
7/18/2022,486.5,453.090164,436.339939,485.85294,517,545.1285402
7/19/2022,484,453.228389,436.070831,487.20792,517,545.9035587
7/20/2022,483,453.366614,435.801597,484.71646,517,546.5135363
7/21/2022,503,453.504838,435.532252,482.1851,517,547.2975328
7/22/2022,517,453.643063,435.262814,493.03714,517,548.0999038
7/25/2022,507,453.781287,434.993296,509.3739,517,549.0094389
7/26/2022,493.5,453.919512,434.723715,510.78525,517,550.25175
7/27/2022,490,454.057736,434.454086,499.1712,517,551.0258622
7/28/2022,495,454.195961,434.184424,489.45956,517,552.2584246
7/29/2022,504,454.334185,433.914744,489.64188,517,553.2496439
8/1/2022,498.5,454.47241,433.645062,497.986,517,554.3335271
8/2/2022,500,454.610634,433.375392,500.0173,517,555.3513835
8/3/2022,503,454.748859,433.105749,499.6449,517,556.390976
8/4/2022,502,454.887084,432.836148,500.65228,517,557.6788722
8/5/2022,502,455.025308,432.566604,500.9668,517,558.4169469
8/8/2022,501,455.163533,432.29713,500.94562,517,559.5364604
8/9/2022,494.5,455.301757,432.027741,500.29868,517,560.3438161
8/10/2022,504,455.439982,431.758452,496.1126,517,561.1805905
8/11/2022,501,455.578206,431.489276,499.14035,517,561.8967923
8/12/2022,498,455.716431,431.220228,500.62604,517,562.5897474
8/15/2022,498,455.854655,430.951321,498.8874,517,563.4961665
8/16/2022,505,455.99288,430.682569,497.30206,517,563.8283575
8/17/2022,490.5,456.131104,430.413987,500.93048,517,564.5280117
8/18/2022,501,456.269329,430.145586,495.2974,517,564.911678
8/19/2022,494,456.407554,429.877382,496.61255,517,565.3305251
8/22/2022,495,456.545778,429.609387,495.0885,517,565.6433536
8/23/2022,493,456.684003,429.341614,494.2269,517,565.9552642
8/24/2022,496,456.822227,429.074077,492.90674,517,566.5095418
8/25/2022,494,456.960452,428.806788,494.0104,517,566.5237235
8/26/2022,497.5,457.098676,428.53976,493.92914,517,566.9432826
8/30/2022,510,457.236901,428.273007,495.54807,517,567.0870442
8/31/2022,507,457.375125,428.00654,503.99796,517,567.3069347
9/1/2022,501,457.51335,427.740372,507.26154,517,567.4610254
9/2/2022,498.5,457.651574,427.474516,503.37445,517,567.6522757
9/5/2022,501,457.789799,427.208983,498.5392,517,568.1205325
9/6/2022,497,457.928024,426.943786,498.1219,517,568.0787492
9/7/2022,503,458.066248,426.678937,496.9759,517,568.4668532
9/8/2022,499,458.204473,426.414448,499.80087,517,568.5973701
9/9/2022,508,458.342697,426.15033,499.5946,517,568.8154005
9/12/2022,497,458.480922,425.886596,503.8873,517,568.9719049
9/13/2022,495.5,458.619146,425.623256,500.31128,517,569.1626913
9/14/2022,490,458.757371,425.360323,495.85114,517,569.6206583
9/15/2022,491.5,458.895595,425.097806,490.83017,517,569.5522481
9/16/2022,495,459.03382,424.835719,489.704,517,569.8915314
9/20/2022,490,459.172044,424.574071,492.42786,517,569.9460279
9/21/2022,501,459.310269,424.312873,491.52377,517,570.0568498
9/22/2022,495,459.448494,424.052137,496.44003,517,570.072122
9/23/2022,498,459.586718,423.791873,496.42245,517,570.0860679
9/26/2022,486,459.724943,423.532092,496.68692,517,570.3313119
9/27/2022,487.5,459.863167,423.272804,489.92328,517,570.0153513
9/28/2022,484,460.001392,423.014019,486.25525,517,570.0746191
9/29/2022,474.5,460.139616,422.755748,483.8134,517,569.8202417
9/30/2022,472,460.277841,422.498,477.71002,517,569.5980832
10/3/2022,464,460.416065,422.240786,472.75272,517,569.2620301
10/4/2022,463,460.55429,421.984116,466.54672,517,568.912912
10/5/2022,460,460.692514,421.727998,463.07202,517,568.7906121
10/6/2022,456,460.830739,421.472444,460.69424,517,568.1103287
10/7/2022,460,460.968964,421.217462,457.6385,517,567.8164124
10/10/2022,458.5,461.107188,420.963061,458.31766,517,567.2278924
10/11/2022,441,461.245413,420.709252,458.7228,517,566.6982888
10/12/2022,444,461.383637,420.456042,448.80142,517,566.0886713
10/13/2022,443.5,461.521862,420.203442,443.27426,517,565.5063679
10/14/2022,450,461.660086,419.951459,442.12408,517,565.1968833
10/17/2022,448.5,461.798311,419.700103,446.49738,517,564.3799912
10/18/2022,447.5,461.936535,419.449382,448.85663,517,564.0034343
10/19/2022,441.5,462.07476,419.199306,448.39963,517,563.3883464
10/20/2022,445.5,462.212984,418.949881,443.94046,517,562.8889965
10/21/2022,432.5,462.351209,418.701117,443.17126,517,562.3658192
10/24/2022,422.5,462.489434,418.453022,436.78015,517,561.924134
10/25/2022,426.5,462.627658,418.205603,426.86392,517,561.8061125
10/26/2022,420,462.765883,417.958869,423.83182,517,561.2269585
10/27/2022,426,462.904107,417.712828,421.10294,517,561.1287302
10/28/2022,426,463.042332,417.467487,423.12393,517,560.825915
10/31/2022,429.5,463.180556,417.222853,425.27008,517,560.6653547
11/1/2022,427.5,463.318781,416.978935,427.94055,517,560.4994775
11/2/2022,425,463.457005,416.73574,428.009,517,560.4252353
11/3/2022,426,463.59523,416.493274,425.81384,517,560.6762983
11/4/2022,414.5,463.733455,416.251545,424.77042,517,560.4594658
11/7/2022,404,463.871679,416.01056,418.42862,517,560.7087147
11/8/2022,408,464.009904,415.770326,408.4029,517,560.7309916
11/9/2022,404,464.148128,415.53085,405.13574,517,560.8663385
11/10/2022,400.5,464.286353,415.292138,403.70468,517,560.9613035
11/11/2022,405,464.424577,415.054197,401.57187,517,561.1080304
11/14/2022,397,464.562802,414.817033,402.66965,517,561.5365737
11/15/2022,392,464.701026,414.580652,399.7649,517,561.4513959
11/16/2022,396,464.839251,414.345062,394.44553,517,561.7854664
11/17/2022,403.5,464.977475,414.110267,393.47775,517,561.8460648
11/18/2022,406,465.1157,413.876274,398.46832,517,561.9748806
11/21/2022,414,465.253925,413.643089,403.7335,517,562.0213611
11/22/2022,408.5,465.392149,413.410717,410.224,517,562.0817018
11/23/2022,406,465.530374,413.179165,410.3176,517,562.3910316
11/24/2022,403,465.668598,412.948437,407.0031,517,562.1597517
11/25/2022,410,465.806823,412.718539,403.03906,517,562.3274522
11/28/2022,422,465.945047,412.489477,405.02148,517,562.2085157
11/29/2022,429,466.083272,412.261255,414.34195,517,562.152005
11/30/2022,432,466.221496,412.033879,424.33313,517,562.014793
12/1/2022,439.5,466.359721,411.807354,430.20898,517,561.9003355
12/2/2022,442,466.497945,411.581684,435.55933,517,562.0506456
12/5/2022,459,466.63617,411.356875,439.175,517,561.6824343
12/6/2022,448,466.774395,411.132931,449.88,517,561.7408473
12/7/2022,449,466.912619,410.909856,450.29086,517,561.5449126
12/8/2022,455,467.050844,410.687656,447.995,517,561.4472999
12/9/2022,456,467.189068,410.466334,449.90482,517,561.307353
12/12/2022,452,467.327293,410.245895,452.74207,517,561.2298006
12/13/2022,459.5,467.465517,410.026343,451.96832,517,561.4567033
12/14/2022,451.5,467.603742,409.807682,454.88065,517,561.2036033
12/15/2022,446,467.741966,409.589915,452.76843,517,561.4133063
12/16/2022,447.5,467.880191,409.373048,447.39615,517,561.4014086
12/19/2022,453,468.018415,409.157083,445.22217,517,561.5161674
12/20/2022,445.5,468.15664,408.942024,448.52856,517,561.6116731
12/21/2022,447,468.294865,408.727874,447.28055,517,561.7867229
12/22/2022,443,468.433089,408.514638,446.14557,517,562.2769517
12/23/2022,443,468.571314,408.302319,443.52383,517,562.2769517
